METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2410121326,2026-08-27 00:00:00,200,1446.990,934.680,406.520,105.790,338.640
2410121353,2026-08-27 00:00:00,120,624.500,434.000,169.730,20.750,131.080
2410121371,2026-08-27 00:00:00,120,561.050,349.410,123.970,87.670,68.080
2410121454,2026-08-27 00:00:00,160,1934.780,1217.420,418.490,298.870,311.430
2410121457,2026-08-27 00:00:00,120,1251.550,812.090,359.210,80.250,211.170
2410121574,2026-08-27 00:00:00,120,4600.980,3321.840,1070.420,208.710,396.440
2410131378,2026-08-27 00:00:00,200,1702.500,1089.220,472.620,140.650,376.510
2410131383,2026-08-27 00:00:00,400,1010.570,669.060,215.990,125.510,45.170
2410131384,2026-08-27 00:00:00,200,9511.640,5398.530,1911.770,2201.330,1980.740
2410320615,2026-08-27 00:00:00,700,14587.580,8928.590,3564.200,2094.790,3597.500
2410883990,2026-08-27 00:00:00,60,2976.280,1706.300,635.300,634.670,885.700
2410883991,2026-08-27 00:00:00,100,2659.920,1600.780,597.870,461.260,247.890
2410883993,2026-08-27 00:00:00,60,2783.660,1324.430,529.700,929.520,87.760
2410883994,2026-08-27 00:00:00,320,99.500,44.210,19.870,35.410,3.410
2410932742,2026-08-27 00:00:00,240,18766.939,10926.060,3489.230,4351.650,4722.790
2411087432,2026-08-27 00:00:00,40,3415.140,2127.270,977.050,310.810,702.980
2411087433,2026-08-27 00:00:00,500,662.510,393.540,146.440,122.530,15.870
2411290205,2026-08-27 00:00:00,240,9095.450,6123.540,2654.660,317.240,3218.900
2510014481,2026-08-27 00:00:00,80,14672.270,8549.630,2826.910,3295.720,5504.520
2510014483,2026-08-27 00:00:00,300,209.460,120.430,46.870,42.150,0.000
2510014484,2026-08-27 00:00:00,160,8963.370,5084.190,1985.790,1893.390,1359.320
2510178141,2026-08-27 00:00:00,40,586.280,438.200,137.990,10.080,161.170
2510203104,2026-08-27 00:00:00,120,2795.750,1677.640,656.150,461.940,401.850
2510203105,2026-08-27 00:00:00,100,2231.460,1551.300,630.950,49.190,525.050
2510203106,2026-08-27 00:00:00,100,91.950,42.730,15.160,34.050,0.370
2510203107,2026-08-27 00:00:00,600,378.900,236.710,105.970,36.210,108.460
2510203108,2026-08-27 00:00:00,80,3569.190,2002.410,789.810,776.950,577.730
2510203109,2026-08-27 00:00:00,160,1382.770,866.560,422.400,93.810,429.080
2510203114,2026-08-27 00:00:00,120,1726.540,1085.480,426.700,214.350,342.360
2510203117,2026-08-27 00:00:00,80,1566.060,832.430,343.300,390.320,262.370
2510203118,2026-08-27 00:00:00,640,170.390,98.470,38.720,33.190,26.980
2510203119,2026-08-27 00:00:00,40,480.820,323.290,123.490,34.020,180.180
2510203120,2026-08-27 00:00:00,160,3926.870,2412.450,869.510,644.900,892.280
2510203124,2026-08-27 00:00:00,800,1072.830,757.920,260.100,54.810,303.710
2510203126,2026-08-27 00:00:00,100,10.160,4.380,1.390,4.380,0.220
2510203127,2026-08-27 00:00:00,40,1062.940,695.380,286.980,80.560,290.530
2510203128,2026-08-27 00:00:00,500,7251.570,3804.620,1276.660,2170.280,319.530
2510203129,2026-08-27 00:00:00,80,0.980,0.510,0.180,0.280,0.000
2510203130,2026-08-27 00:00:00,120,16.910,11.530,3.720,1.640,5.980
2510203134,2026-08-27 00:00:00,200,136.630,80.010,31.800,24.810,6.060
2510224049,2026-08-27 00:00:00,1,50929.621,19762.750,10524.410,20642.449,117.940
2510317505,2026-08-27 00:00:00,1,13455.020,5876.170,2849.980,4728.850,0.730
2510317537,2026-08-27 00:00:00,1,10672.090,6135.770,2017.060,2519.240,218.560
2510389559,2026-08-27 00:00:00,1,35.990,19.750,14.320,1.910,30.210
2510633381,2026-08-27 00:00:00,320,193.410,120.700,43.250,29.450,6.170
2510633383,2026-08-27 00:00:00,40,1523.060,1142.150,353.530,27.360,47.140
2510633385,2026-08-27 00:00:00,60,1104.630,517.980,218.130,368.510,42.810
2510633386,2026-08-27 00:00:00,500,416.230,236.630,90.460,89.140,30.890
2510633387,2026-08-27 00:00:00,40,17.210,11.340,4.280,1.580,0.480
2510633389,2026-08-27 00:00:00,500,235.220,159.760,55.670,19.790,24.190
2510633390,2026-08-27 00:00:00,80,1628.240,983.200,374.470,270.550,422.370
2510633391,2026-08-27 00:00:00,100,216.300,166.850,49.350,0.090,3.040
2510633393,2026-08-27 00:00:00,600,5352.200,3118.090,1066.570,1167.530,1134.510
2510633395,2026-08-27 00:00:00,40,1300.980,732.580,283.550,284.840,61.340
2510633396,2026-08-27 00:00:00,400,805.340,545.240,190.110,69.980,182.690
2510633397,2026-08-27 00:00:00,240,484.630,312.650,144.380,27.600,179.190
2510633399,2026-08-27 00:00:00,600,988.280,567.100,212.570,208.590,51.200
2510633400,2026-08-27 00:00:00,800,573.170,348.410,126.780,97.960,93.900
2510633406,2026-08-27 00:00:00,60,321.570,140.680,60.840,120.040,11.000
2510633411,2026-08-27 00:00:00,800,4020.250,2290.550,850.830,878.860,1413.090
2510814977,2026-08-27 00:00:00,400,47.900,29.690,11.410,6.790,1.480
2610026950,2026-08-27 00:00:00,600,7.930,5.020,1.820,1.080,0.600
2610026952,2026-08-27 00:00:00,200,3114.700,2034.610,916.290,163.800,1543.490
2610026953,2026-08-27 00:00:00,700,453.510,270.520,104.350,78.640,111.720
2610026976,2026-08-27 00:00:00,60,1232.420,803.220,273.940,155.250,128.770
2610026977,2026-08-27 00:00:00,30,529.320,221.740,81.880,225.700,91.140
2610126270,2026-08-27 00:00:00,400,15.860,10.230,3.960,1.660,0.750
2610126451,2026-08-27 00:00:00,300,98.900,64.970,24.230,9.690,54.070
2610159557,2026-08-27 00:00:00,600,10.330,5.590,2.280,2.450,0.220
2610170786,2026-08-27 00:00:00,500,344.980,196.030,70.940,78.000,62.180
2610170836,2026-08-27 00:00:00,100,119.660,74.580,26.750,18.330,68.480
2610170837,2026-08-27 00:00:00,240,7.840,5.100,1.710,1.020,0.830
2610170840,2026-08-27 00:00:00,40,185.880,103.370,37.420,45.070,38.360
2610322967,2026-08-27 00:00:00,500,1.880,1.140,0.460,0.280,0.270
2610322969,2026-08-27 00:00:00,100,45.630,31.100,12.010,2.520,2.620
2610322997,2026-08-27 00:00:00,400,294.070,172.000,68.760,53.300,108.110
2610323001,2026-08-27 00:00:00,160,976.120,571.440,278.310,126.360,436.410
2610323004,2026-08-27 00:00:00,3000,53.220,41.460,6.860,4.880,12.070
2610323005,2026-08-27 00:00:00,120,5.460,3.750,1.360,0.340,1.070
2610323016,2026-08-27 00:00:00,160,901.220,496.650,199.200,205.360,410.940
2610323019,2026-08-27 00:00:00,80,26.040,16.560,5.670,3.810,1.430
2610323024,2026-08-27 00:00:00,160,564.350,389.450,150.120,24.760,194.140
2410121424,2026-08-27 00:01:00,120,45.180,27.910,10.640,6.620,1.600
2410131387,2026-08-27 00:01:00,600,507.440,316.820,120.930,69.680,52.440
2510389931,2026-08-27 00:01:00,1,28816.859,11008.520,6071.010,11737.320,0.080
2510633402,2026-08-27 00:01:00,300,334.590,202.660,73.410,58.510,70.440
2610026963,2026-08-27 00:01:00,200,319.330,166.090,77.350,75.890,23.270
2610026966,2026-08-27 00:01:00,240,821.800,589.240,204.400,28.140,174.640
2410121440,2026-08-27 00:02:00,120,12.930,8.100,2.560,2.250,1.340
2510203113,2026-08-27 00:02:00,160,3906.190,2473.090,936.620,496.470,216.480
2510203122,2026-08-27 00:02:00,40,870.870,552.240,272.580,46.040,637.680
2510014482,2026-08-27 00:03:00,40,1212.490,842.470,335.220,34.790,79.420
2510178139,2026-08-27 00:03:00,300,702.710,411.250,153.340,138.110,141.750
2510203103,2026-08-27 00:03:00,400,1776.780,1054.450,399.970,322.350,43.970
2510203111,2026-08-27 00:03:00,40,3672.650,2299.260,903.120,470.270,1008.340
2510203123,2026-08-27 00:03:00,40,2476.070,1622.550,676.630,176.880,782.240
2510203133,2026-08-27 00:03:00,40,627.630,427.550,157.290,42.780,106.140
2510389643,2026-08-27 00:03:00,1,40201.129,14355.580,7137.640,18707.910,22.350
2610170838,2026-08-27 00:03:00,240,22.280,14.270,4.910,3.090,2.390
2410121326,2026-08-27 00:30:00,200,1447.050,934.680,406.520,105.850,338.650
2410121353,2026-08-27 00:30:00,120,624.500,434.000,169.730,20.760,131.080
2410121371,2026-08-27 00:30:00,120,561.060,349.410,123.970,87.680,68.080
2410121424,2026-08-27 00:30:00,120,45.190,27.910,10.640,6.620,1.600
2410121440,2026-08-27 00:30:00,120,12.930,8.100,2.560,2.250,1.340
2410121454,2026-08-27 00:30:00,160,1934.910,1217.420,418.490,298.990,311.450
2410121457,2026-08-27 00:30:00,120,1251.600,812.090,359.210,80.290,211.180
2410121574,2026-08-27 00:30:00,120,4601.050,3321.840,1070.420,208.780,396.440
2410131378,2026-08-27 00:30:00,200,1702.500,1089.220,472.620,140.660,376.510
2410131383,2026-08-27 00:30:00,400,1010.580,669.060,215.990,125.520,45.170
2410131384,2026-08-27 00:30:00,200,9512.100,5398.530,1911.770,2201.790,1980.820
2410131387,2026-08-27 00:30:00,600,507.450,316.820,120.930,69.700,52.440
2410320615,2026-08-27 00:30:00,700,14588.070,8928.590,3564.200,2095.270,3597.570
2410883990,2026-08-27 00:30:00,60,2976.290,1706.300,635.300,634.680,885.700
2410883991,2026-08-27 00:30:00,100,2659.980,1600.780,597.870,461.310,247.890
2410883993,2026-08-27 00:30:00,60,2783.950,1324.430,529.700,929.810,87.760
2410883994,2026-08-27 00:30:00,320,99.510,44.210,19.870,35.420,3.410
2410932742,2026-08-27 00:30:00,240,18767.949,10926.060,3489.230,4352.660,4723.050
2411087432,2026-08-27 00:30:00,40,3415.340,2127.270,977.050,311.000,702.980
2411087433,2026-08-27 00:30:00,500,662.670,393.540,146.440,122.680,15.870
2411290205,2026-08-27 00:30:00,240,9095.490,6123.540,2654.660,317.280,3218.900
2510014481,2026-08-27 00:30:00,80,14673.010,8549.630,2826.910,3296.460,5504.790
2510014483,2026-08-27 00:30:00,300,209.470,120.430,46.870,42.160,0.000
2510014484,2026-08-27 00:30:00,160,8963.910,5084.190,1985.790,1893.930,1359.530
2510178139,2026-08-27 00:30:00,300,702.840,411.250,153.340,138.230,141.780
2510178141,2026-08-27 00:30:00,40,586.280,438.200,137.990,10.080,161.170
2510203103,2026-08-27 00:30:00,400,1776.810,1054.450,399.970,322.370,43.970
2510203104,2026-08-27 00:30:00,120,2795.910,1677.640,656.150,462.100,401.870
2510203105,2026-08-27 00:30:00,100,2231.470,1551.300,630.950,49.210,525.050
2510203106,2026-08-27 00:30:00,100,91.960,42.730,15.160,34.060,0.370
2510203107,2026-08-27 00:30:00,600,378.950,236.710,105.970,36.260,108.460
2510203108,2026-08-27 00:30:00,80,3569.470,2002.410,789.810,777.240,577.760
2510203109,2026-08-27 00:30:00,160,1382.780,866.560,422.400,93.820,429.080
2510203111,2026-08-27 00:30:00,40,3672.650,2299.260,903.120,470.270,1008.340
2510203113,2026-08-27 00:30:00,160,3906.300,2473.090,936.620,496.580,216.480
2510203114,2026-08-27 00:30:00,120,1726.650,1085.480,426.700,214.460,342.370
2510203117,2026-08-27 00:30:00,80,1566.140,832.430,343.300,390.400,262.370
2510203118,2026-08-27 00:30:00,640,170.400,98.470,38.720,33.200,26.980
2510203119,2026-08-27 00:30:00,40,480.820,323.290,123.490,34.020,180.180
2510203120,2026-08-27 00:30:00,160,3927.060,2412.450,869.510,645.100,892.350
2510203122,2026-08-27 00:30:00,40,870.880,552.240,272.580,46.050,637.690
2510203124,2026-08-27 00:30:00,800,1072.840,757.920,260.100,54.810,303.710
2510203126,2026-08-27 00:30:00,100,10.170,4.380,1.390,4.390,0.220
2510203127,2026-08-27 00:30:00,40,1063.020,695.380,286.980,80.640,290.580
2510203128,2026-08-27 00:30:00,500,7252.290,3804.620,1276.660,2171.000,319.600
2510203130,2026-08-27 00:30:00,120,16.910,11.530,3.720,1.640,5.980
2510203134,2026-08-27 00:30:00,200,136.630,80.010,31.800,24.820,6.060
2510224049,2026-08-27 00:30:00,1,50933.059,19762.750,10524.410,20645.900,117.940
2510317505,2026-08-27 00:30:00,1,13456.950,5876.170,2849.980,4730.780,0.730
2510317537,2026-08-27 00:30:00,1,10673.000,6135.770,2017.060,2520.150,218.560
2510389559,2026-08-27 00:30:00,1,35.990,19.750,14.320,1.910,30.210
2510389643,2026-08-27 00:30:00,1,40204.461,14355.580,7137.640,18711.230,22.350
2510389931,2026-08-27 00:30:00,1,28819.070,11008.520,6071.010,11739.530,0.080
2510633381,2026-08-27 00:30:00,320,193.430,120.700,43.250,29.470,6.170
2510633383,2026-08-27 00:30:00,40,1523.390,1142.150,353.530,27.700,47.140
2510633385,2026-08-27 00:30:00,60,1104.750,517.980,218.130,368.630,42.810
2510633386,2026-08-27 00:30:00,500,416.300,236.630,90.460,89.200,30.890
2510633387,2026-08-27 00:30:00,40,17.210,11.340,4.280,1.590,0.480
2510633389,2026-08-27 00:30:00,500,235.250,159.760,55.670,19.810,24.190
2510633390,2026-08-27 00:30:00,80,1628.770,983.200,374.470,271.080,422.500
2510633391,2026-08-27 00:30:00,100,216.300,166.850,49.350,0.090,3.040
2510633393,2026-08-27 00:30:00,600,5352.610,3118.090,1066.570,1167.940,1134.590
2510633395,2026-08-27 00:30:00,40,1300.980,732.580,283.550,284.840,61.340
2510633396,2026-08-27 00:30:00,400,805.350,545.240,190.110,69.990,182.690
2510633397,2026-08-27 00:30:00,240,484.650,312.650,144.380,27.610,179.190
2510633399,2026-08-27 00:30:00,600,988.400,567.100,212.570,208.710,51.200
2510633400,2026-08-27 00:30:00,800,573.240,348.410,126.780,98.040,93.920
2510633402,2026-08-27 00:30:00,300,334.680,202.660,73.410,58.600,70.470
2510633406,2026-08-27 00:30:00,60,321.590,140.680,60.840,120.060,11.000
2510633411,2026-08-27 00:30:00,800,4020.700,2290.550,850.830,879.310,1413.300
2510814977,2026-08-27 00:30:00,400,47.900,29.690,11.410,6.790,1.480
2610026950,2026-08-27 00:30:00,600,7.930,5.020,1.820,1.080,0.600
2610026952,2026-08-27 00:30:00,200,3114.710,2034.610,916.290,163.800,1543.490
2610026953,2026-08-27 00:30:00,700,453.650,270.520,104.350,78.770,111.770
2610026963,2026-08-27 00:30:00,200,319.390,166.090,77.350,75.940,23.270
2610026966,2026-08-27 00:30:00,240,821.810,589.240,204.400,28.150,174.650
2610026976,2026-08-27 00:30:00,60,1232.520,803.220,273.940,155.340,128.770
2610026977,2026-08-27 00:30:00,30,529.470,221.740,81.880,225.840,91.150
2610126270,2026-08-27 00:30:00,400,15.860,10.230,3.960,1.670,0.750
2610126451,2026-08-27 00:30:00,300,98.910,64.970,24.230,9.700,54.070
2610159557,2026-08-27 00:30:00,600,10.330,5.590,2.280,2.450,0.220
2610170786,2026-08-27 00:30:00,500,345.220,196.030,70.940,78.230,62.230
2610170836,2026-08-27 00:30:00,100,119.660,74.580,26.750,18.330,68.480
2610170837,2026-08-27 00:30:00,240,7.840,5.100,1.710,1.020,0.830
2610170840,2026-08-27 00:30:00,40,185.940,103.370,37.420,45.140,38.360
2610322967,2026-08-27 00:30:00,500,1.880,1.140,0.460,0.280,0.270
2610322969,2026-08-27 00:30:00,100,45.640,31.100,12.010,2.520,2.620
2610322997,2026-08-27 00:30:00,400,294.330,172.000,68.760,53.560,108.230
2610323001,2026-08-27 00:30:00,160,976.430,571.440,278.310,126.670,436.570
2610323004,2026-08-27 00:30:00,3000,53.230,41.460,6.860,4.890,12.070
2610323005,2026-08-27 00:30:00,120,5.460,3.750,1.360,0.340,1.070
2610323016,2026-08-27 00:30:00,160,901.630,496.650,199.200,205.770,411.160
2610323019,2026-08-27 00:30:00,80,26.060,16.560,5.670,3.820,1.430
2610323024,2026-08-27 00:30:00,160,564.410,389.450,150.120,24.830,194.140
2510014482,2026-08-27 00:31:00,40,1212.490,842.470,335.220,34.800,79.420
