METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2246006313,2026-09-22 00:00:00,8800,943.214,532.176,195.015,216.022,125.909,8.999,180.553
2410121326,2026-09-22 00:00:00,200,1581.480,1020.370,442.860,118.240,374.420,0.000,5.450
2410121353,2026-09-22 00:00:00,120,715.380,496.360,194.950,24.060,158.540,0.000,15.420
2410121371,2026-09-22 00:00:00,120,604.040,374.680,132.870,96.480,71.690,0.000,29.550
2410121424,2026-09-22 00:00:00,120,48.110,29.580,11.190,7.330,1.600,0.000,17.800
2410121440,2026-09-22 00:00:00,120,21.530,14.240,4.270,3.000,2.560,0.000,5.980
2410121454,2026-09-22 00:00:00,160,2051.030,1294.360,442.450,314.210,333.470,0.000,76.470
2410121457,2026-09-22 00:00:00,120,1802.010,1152.530,506.340,143.130,338.310,0.000,42.560
2410121574,2026-09-22 00:00:00,120,4893.260,3531.600,1138.380,223.270,423.060,0.000,380.800
2410131378,2026-09-22 00:00:00,200,1852.570,1192.350,514.850,145.360,406.850,0.000,9.570
2410131383,2026-09-22 00:00:00,400,1063.340,704.380,227.160,131.790,47.890,0.000,65.660
2410131384,2026-09-22 00:00:00,200,9822.190,5573.580,1976.960,2271.640,2047.140,0.000,4.900
2410131387,2026-09-22 00:00:00,600,549.120,343.680,130.900,74.540,57.500,0.000,58.780
2410320615,2026-09-22 00:00:00,700,15505.390,9507.330,3782.400,2215.650,3833.390,0.000,51.460
2410883988,2026-09-22 00:00:00,100,36.270,18.480,5.400,12.380,3.400,0.000,2.170
2410883991,2026-09-22 00:00:00,100,2732.990,1645.480,614.560,472.930,256.490,0.260,74.210
2410883993,2026-09-22 00:00:00,60,3139.900,1518.060,594.360,1027.460,123.880,0.000,339.110
2410883994,2026-09-22 00:00:00,320,107.270,48.090,21.330,37.840,3.450,0.000,6.620
2410932742,2026-09-22 00:00:00,240,19941.020,11607.440,3701.910,4631.670,5058.470,0.000,5.960
2411087432,2026-09-22 00:00:00,40,3673.720,2280.940,1052.110,340.660,741.410,0.000,31.060
2411087433,2026-09-22 00:00:00,500,838.610,496.340,182.300,159.960,21.790,0.000,778.490
2411290205,2026-09-22 00:00:00,240,9653.180,6493.450,2827.820,331.910,3421.960,0.000,59.530
2510014481,2026-09-22 00:00:00,80,15402.510,8979.020,2966.890,3456.590,5788.450,0.000,5.520
2510014482,2026-09-22 00:00:00,40,1294.750,902.490,355.500,36.750,85.080,0.000,63.130
2510014483,2026-09-22 00:00:00,300,230.040,132.570,51.210,46.240,0.000,0.000,186.410
2510014484,2026-09-22 00:00:00,160,9436.470,5351.300,2089.150,1996.020,1526.530,0.000,21.600
2510178139,2026-09-22 00:00:00,300,831.140,483.030,176.290,171.810,181.770,0.000,14.140
2510178141,2026-09-22 00:00:00,40,661.340,495.170,155.120,11.040,183.210,0.000,47.470
2510203103,2026-09-22 00:00:00,400,1860.460,1107.570,418.420,334.460,63.030,3.540,330.020
2510203104,2026-09-22 00:00:00,120,3032.890,1822.310,710.720,499.850,457.390,0.000,69.190
2510203105,2026-09-22 00:00:00,100,2439.340,1696.660,688.900,53.760,573.600,0.000,70.530
2510203106,2026-09-22 00:00:00,100,99.050,45.880,16.700,36.460,0.410,0.000,37.200
2510203107,2026-09-22 00:00:00,600,634.950,404.050,171.150,59.740,184.480,0.000,12.560
2510203108,2026-09-22 00:00:00,80,3997.320,2253.500,886.050,857.750,626.370,0.000,36.690
2510203109,2026-09-22 00:00:00,160,1527.430,958.570,469.690,99.160,459.750,0.000,87.170
2510203111,2026-09-22 00:00:00,40,3940.230,2486.450,972.320,481.450,1075.580,0.000,12.720
2510203113,2026-09-22 00:00:00,160,4479.700,2856.310,1084.250,539.130,269.350,0.000,111.250
2510203114,2026-09-22 00:00:00,120,1907.780,1198.230,471.040,238.500,383.670,0.000,33.730
2510203117,2026-09-22 00:00:00,80,1661.320,885.910,360.190,415.210,282.820,0.000,165.670
2510203118,2026-09-22 00:00:00,640,195.320,112.960,43.970,38.370,26.990,0.010,114.790
2510203119,2026-09-22 00:00:00,40,480.820,323.300,123.490,34.020,180.180,0.000,14.790
2510203120,2026-09-22 00:00:00,160,4322.200,2654.320,952.270,715.600,1003.700,0.000,14.900
2510203121,2026-09-22 00:00:00,100,1298.760,762.590,304.040,232.130,71.750,0.000,107.330
2510203122,2026-09-22 00:00:00,40,940.960,596.710,295.210,49.030,688.760,0.000,0.710
2510203123,2026-09-22 00:00:00,40,2664.170,1756.140,726.540,181.480,846.610,0.000,11.760
2510203124,2026-09-22 00:00:00,800,1188.290,842.940,286.170,59.170,334.670,0.000,0.360
2510203126,2026-09-22 00:00:00,100,16.220,7.320,2.310,6.580,0.320,0.000,1.320
