METER_NO,DATE_TIME,PHASE_A_VOLTS,PHASE_B_VOLTS,PHASE_C_VOLTS,TOTAL_KW,PHASE_A_AMPERE,PHASE_B_AMPERE,PHASE_C_AMPERE,TOTAL_KVAR
2246006313,2026-08-02 02:30:00,58.500,58.500,58.300,1601.6,9196,9275.2,8976,202.4
2246006313,2026-08-02 03:00:00,58.800,58.800,58.600,1416.8,8008,8201.6,7849.6,105.6
2246006313,2026-08-02 03:30:00,58.200,58.100,58.000,1531.2,9099.2,9204.8,8905.6,140.8
2246006313,2026-08-02 04:00:00,58.400,58.300,58.100,1408,8316,8439.2,8122.4,140.8
2246006313,2026-08-02 04:30:00,58.300,58.300,58.100,1223.2,7101.6,7260,6916.8,8.8
2246006313,2026-08-02 05:00:00,58.800,58.800,58.700,1161.6,6600,6864,6520.8,0
2246006313,2026-08-02 05:30:00,58.900,58.900,58.700,1267.2,7427.2,7603.2,7348,44
2246006313,2026-08-02 06:00:00,59.200,59.100,59.000,1276,7383.2,7427.2,7128,70.4
2246006313,2026-08-02 06:30:00,58.300,58.300,58.100,1188,6969.6,7251.2,6864,0
2246006313,2026-08-02 07:00:00,57.800,57.800,57.700,1152.8,6908,7154.4,6872.8,0
2246006313,2026-08-02 07:30:00,58.600,58.500,58.400,1452,8606.4,8712,8518.4,0
2246006313,2026-08-02 08:00:00,58.900,58.800,58.700,1258.4,7620.8,7418.4,7057.6,17.6
2246006313,2026-08-02 08:30:00,58.600,58.500,58.400,1249.6,7471.2,7700,7216,17.6
2246006313,2026-08-02 09:00:00,58.500,58.400,58.300,1390.4,7964,8210.4,7691.2,96.8
2246006313,2026-08-02 09:30:00,58.400,58.200,58.200,1399.2,7981.6,8201.6,7761.6,88
2246006313,2026-08-02 10:00:00,58.300,58.300,58.200,1416.8,7911.2,7955.2,7462.4,88
2246006313,2026-08-02 10:30:00,58.300,58.100,58.000,1390.4,8078.4,8386.4,7867.2,105.6
2246006313,2026-08-02 11:00:00,58.700,58.500,58.500,1610.4,9169.6,9345.6,8967.2,167.2
2246006313,2026-08-02 11:30:00,59.100,59.000,58.900,1452,8518.4,8773.6,8298.4,149.6
2246006313,2026-08-02 12:00:00,58.400,58.300,58.200,1531.2,8923.2,9134.4,8782.4,167.2
2246006313,2026-08-02 12:30:00,57.800,57.600,57.500,1548.8,9002.4,9231.2,8712,149.6
2246006313,2026-08-02 13:00:00,57.500,57.400,57.300,1416.8,8316,8615.2,8060.8,149.6
2246006313,2026-08-02 13:30:00,58.300,58.200,58.100,1460.8,8694.4,8993.6,8272,176
2246006313,2026-08-02 14:00:00,58.300,58.200,58.000,1628,9336.8,9583.2,8905.6,211.2
2246006313,2026-08-02 14:30:00,58.500,58.400,58.300,1663.2,9952.8,10005.6,9609.6,237.6
2246006313,2026-08-02 15:00:00,58.400,58.400,58.300,1575.2,9143.2,9504,8993.6,228.8
2246006313,2026-08-02 15:30:00,58.300,58.200,58.100,1610.4,9345.6,9486.4,9020,202.4
2246006313,2026-08-02 16:00:00,58.400,58.400,58.200,1698.4,9873.6,10146.4,9609.6,184.8
2246006313,2026-08-02 16:30:00,58.300,58.200,58.100,1513.6,8835.2,9081.6,8632.8,132
2246006313,2026-08-02 17:00:00,58.800,58.700,58.600,1425.6,8219.2,8342.4,8008,123.2
2246006313,2026-08-02 17:30:00,59.100,59.000,58.900,1249.6,7180.8,7330.4,6916.8,17.6
2246006313,2026-08-02 18:00:00,59.200,59.100,59.000,1126.4,6344.8,6450.4,6116,0
2246006313,2026-08-02 18:30:00,58.300,58.300,58.100,1135.2,6617.6,6846.4,6362.4,0
2246006313,2026-08-02 19:00:00,58.700,58.600,58.400,1126.4,6520.8,6644,6239.2,0
2246006313,2026-08-02 19:30:00,58.600,58.600,58.400,1012,6001.6,6177.6,5728.8,0
2246006313,2026-08-02 20:00:00,58.700,58.700,58.500,1020.8,5852,6010.4,5561.6,0
2246006313,2026-08-02 20:30:00,58.100,58.100,57.900,968,5667.2,5799.2,5420.8,0
2246006313,2026-08-02 21:00:00,58.000,58.100,57.800,809.6,4743.2,4936.8,4540.8,0
2246006313,2026-08-02 21:30:00,58.700,58.700,58.500,765.6,4532,4716.8,4444,0
2246006313,2026-08-02 22:00:00,58.900,58.900,58.700,756.8,4470.4,4540.8,4162.4,0
2246006313,2026-08-02 22:30:00,58.600,58.500,58.300,739.2,4435.2,4567.2,4224,0
2246006313,2026-08-02 23:00:00,58.700,58.700,58.500,677.6,3942.4,4065.6,3722.4,0
2246006313,2026-08-02 23:30:00,59.000,58.900,58.700,677.6,3916,4021.6,3660.8,0
2246006313,2026-08-03 00:00:00,59.300,59.200,59.000,651.2,3836.8,4048,3590.4,0
2246006313,2026-08-03 00:30:00,59.100,59.100,58.900,642.4,3784,3924.8,3599.2,0
2246006313,2026-08-03 01:00:00,59.300,59.200,59.000,624.8,3801.6,3907.2,3581.6,0
2246006313,2026-08-03 01:30:00,59.400,59.400,59.200,660,3889.6,4012.8,3678.4,0
2246006313,2026-08-03 02:00:00,59.600,59.600,59.400,607.2,3713.6,3872,3520,0
2246006313,2026-08-03 02:30:00,58.800,58.800,58.700,624.8,3757.6,3951.2,3687.2,0
2246006313,2026-08-03 03:00:00,58.800,58.700,58.600,607.2,3704.8,3907.2,3564,0
2246006313,2026-08-03 03:30:00,58.800,58.800,58.600,642.4,3810.4,3951.2,3766.4,0
2246006313,2026-08-03 04:00:00,58.900,58.900,58.800,677.6,4039.2,4136,3819.2,0
2246006313,2026-08-03 04:30:00,58.800,58.700,58.600,642.4,3863.2,3977.6,3678.4,0
2246006313,2026-08-03 05:00:00,58.700,58.600,58.500,633.6,3907.2,4039.2,3696,0
2246006313,2026-08-03 05:30:00,58.700,58.700,58.400,589.6,3660.8,3889.6,3370.4,0
2246006313,2026-08-03 06:00:00,58.100,58.100,57.900,580.8,3634.4,3740,3414.4,0
2246006313,2026-08-03 06:30:00,57.800,57.800,57.600,563.2,3511.2,3696,3379.2,0
2246006313,2026-08-03 07:00:00,58.300,58.300,58.000,660,3907.2,4100.8,3810.4,0
2246006313,2026-08-03 07:30:00,58.700,58.700,58.500,748,4452.8,4752,4329.6,0
2246006313,2026-08-03 08:00:00,57.800,57.700,57.500,1267.2,7682.4,7823.2,7180.8,0
2246006313,2026-08-03 08:30:00,58.100,58.000,57.800,2024,11704,11959.2,11158.4,325.6
2246006313,2026-08-03 09:00:00,58.100,57.900,57.700,1944.8,11572,11792,11343.2,352
2246006313,2026-08-03 09:30:00,57.900,57.800,57.600,1962.4,11994.4,12038.4,11334.4,360.8
2246006313,2026-08-03 10:00:00,58.400,58.300,58.100,1953.6,11651.2,11906.4,11308,378.4
2246006313,2026-08-03 10:30:00,58.100,58.100,57.900,2138.4,12443.2,12531.2,11959.2,440
2246006313,2026-08-03 11:00:00,58.600,58.500,58.400,2120.8,12997.6,13147.2,12205.6,475.2
2246006313,2026-08-03 11:30:00,58.900,58.800,58.600,1918.4,11475.2,11739.2,10929.6,387.2
2246006313,2026-08-03 12:00:00,58.600,58.600,58.400,1936,11369.6,11492.8,10850.4,378.4
2246006313,2026-08-03 12:30:00,58.500,58.400,58.300,1768.8,10392.8,10577.6,10128.8,378.4
2246006313,2026-08-03 13:00:00,57.700,57.600,57.500,2208.8,13930.4,14150.4,13666.4,519.2
2246006313,2026-08-03 13:30:00,58.300,58.200,58.100,2164.8,13508,13604.8,13208.8,616
2246006313,2026-08-03 14:00:00,57.800,57.600,57.500,2508,14581.6,14581.6,14599.2,651.2
2246006313,2026-08-03 14:30:00,57.600,57.400,57.300,2420,14414.4,14493.6,13895.2,624.8
2246006313,2026-08-03 15:00:00,58.000,57.800,57.700,2068,12117.6,12320,11730.4,431.2
2246006313,2026-08-03 15:30:00,57.700,57.600,57.400,2217.6,13384.8,13596,12988.8,466.4
2246006313,2026-08-03 16:00:00,58.000,57.800,57.700,2208.8,12619.2,12839.2,12381.6,545.6
2246006313,2026-08-03 16:30:00,57.700,57.600,57.400,1927.2,11457.6,11686.4,11158.4,325.6
2246006313,2026-08-03 17:00:00,58.800,58.700,58.600,1645.6,9328,9609.6,9046.4,193.6
2246006313,2026-08-03 17:30:00,57.900,57.800,57.600,1689.6,9900,10260.8,9671.2,176
2246006313,2026-08-03 18:00:00,58.300,58.200,58.000,1584,9037.6,9301.6,8676.8,132
2246006313,2026-08-03 18:30:00,58.100,57.900,57.800,1619.2,9398.4,9548,9046.4,132
2246006313,2026-08-03 19:00:00,58.500,58.400,58.300,1628,9583.2,9715.2,9248.8,149.6
2246006313,2026-08-03 19:30:00,59.100,59.000,58.800,1575.2,9099.2,9301.6,8791.2,123.2
2246006313,2026-08-03 20:00:00,59.000,58.800,58.600,1320,7515.2,7717.6,7304,8.8
2246006313,2026-08-03 20:30:00,58.000,57.900,57.700,1601.6,9442.4,9627.2,8932,140.8
2246006313,2026-08-03 21:00:00,58.100,58.100,57.800,1557.6,9213.6,9345.6,9090.4,158.4
2246006313,2026-08-03 21:30:00,58.400,58.400,58.200,1592.8,9504,9583.2,9222.4,184.8
2246006313,2026-08-03 22:00:00,58.700,58.600,58.400,1408,8175.2,8192.8,7893.6,123.2
2246006313,2026-08-03 22:30:00,58.400,58.300,58.100,1540,9213.6,9240,8861.6,202.4
2246006313,2026-08-03 23:00:00,58.500,58.400,58.200,1566.4,9222.4,9178.4,8896.8,211.2
2246006313,2026-08-03 23:30:00,58.000,57.900,57.700,1390.4,8377.6,8386.4,7990.4,132
2246006313,2026-08-04 00:00:00,56.900,56.800,56.700,1223.2,7295.2,7497.6,7048.8,8.8
2246006313,2026-08-04 00:30:00,57.500,57.400,57.200,1302.4,7620.8,7805.6,7436,105.6
2246006313,2026-08-04 01:00:00,57.800,57.700,57.500,1522.4,9099.2,9134.4,8826.4,193.6
2246006313,2026-08-04 01:30:00,57.900,57.800,57.700,1531.2,8861.6,8870.4,8588.8,184.8
2246006313,2026-08-04 02:00:00,58.000,57.900,57.700,1478.4,8949.6,8976,8659.2,184.8
2246006313,2026-08-04 02:30:00,58.100,58.100,57.800,1416.8,8474.4,8544.8,8104.8,158.4
2246006313,2026-08-04 03:00:00,58.100,58.100,57.900,1320,7823.2,7937.6,7638.4,132
2246006313,2026-08-04 03:30:00,58.500,58.400,58.200,1540,8844,8923.2,8588.8,193.6
2246006313,2026-08-04 04:00:00,58.600,58.600,58.400,1522.4,8632.8,8756,8395.2,202.4
2246006313,2026-08-04 04:30:00,58.500,58.500,58.300,1372.8,7981.6,8113.6,7823.2,96.8
2246006313,2026-08-04 05:00:00,58.800,58.800,58.600,1152.8,6608.8,6820,6432.8,0
2246006313,2026-08-04 05:30:00,58.900,58.800,58.700,1240.8,7304,7488.8,7092.8,79.2
2246006313,2026-08-04 06:00:00,59.000,58.900,58.700,1223.2,6996,7092.8,6820,61.6
2246006313,2026-08-04 06:30:00,58.700,58.700,58.500,1126.4,6573.6,6864,6415.2,35.2
2246006313,2026-08-04 07:00:00,58.300,58.200,58.000,1152.8,6582.4,6811.2,6424,35.2
2246006313,2026-08-04 07:30:00,58.400,58.300,58.100,1161.6,6696.8,6960.8,6459.2,44
2246006313,2026-08-04 08:00:00,57.500,57.300,57.200,1531.2,8483.2,8967.2,8351.2,44
2246006313,2026-08-04 08:30:00,58.500,58.300,58.200,1953.6,11070.4,11264,10753.6,334.4
2246006313,2026-08-04 09:00:00,58.100,58.000,57.800,2015.2,11765.6,11968,11404.8,369.6
2246006313,2026-08-04 09:30:00,58.200,58.000,57.900,2138.4,12513.6,12689.6,11968,440
2246006313,2026-08-04 10:00:00,58.400,58.300,58.100,1918.4,11413.6,11536.8,11061.6,387.2
2246006313,2026-08-04 10:30:00,57.900,57.600,57.500,2015.2,11528,11765.6,11193.6,492.8
2246006313,2026-08-04 11:00:00,58.200,58.100,57.900,2182.4,12892,12988.8,12302.4,475.2
2246006313,2026-08-04 11:30:00,59.200,59.100,58.900,1944.8,11132,11228.8,10718.4,378.4
2246006313,2026-08-04 12:00:00,58.300,58.200,58.000,1610.4,9600.8,9873.6,9319.2,246.4
2246006313,2026-08-04 12:30:00,58.200,58.100,58.000,1707.2,10199.2,10480.8,9917.6,246.4
2246006313,2026-08-04 13:00:00,58.200,58.100,57.900,2041.6,11598.4,11686.4,11193.6,396
2246006313,2026-08-04 13:30:00,58.100,58.000,57.800,1997.6,11668.8,12117.6,11440,440
2246006313,2026-08-04 14:00:00,58.100,57.900,57.800,2032.8,12328.8,12487.2,12029.6,440
2246006313,2026-08-04 14:30:00,58.500,58.300,58.100,1962.4,11888.8,12047.2,11642.4,431.2
2246006313,2026-08-04 15:00:00,58.900,58.700,58.500,2006.4,11563.2,11686.4,11140.8,457.6
2246006313,2026-08-04 15:30:00,57.700,57.600,57.400,2279.2,14115.2,14256,13701.6,528
2246006313,2026-08-04 16:00:00,58.200,58.000,57.900,2024,12240.8,12452,11959.2,484
2246006313,2026-08-04 16:30:00,58.300,58.100,58.000,1980,12434.4,12381.6,11880,387.2
2246006313,2026-08-04 17:00:00,58.500,58.400,58.200,1707.2,10102.4,10445.6,9627.2,316.8
2246006313,2026-08-04 17:30:00,57.800,57.700,57.500,1707.2,10005.6,10208,9618.4,316.8
2246006313,2026-08-04 18:00:00,58.000,58.000,57.700,1645.6,9380.8,9618.4,9372,255.2
2246006313,2026-08-04 18:30:00,58.300,58.200,58.000,1619.2,9512.8,9812,9257.6,264
2246006313,2026-08-04 19:00:00,58.800,58.700,58.500,1663.2,9820.8,9952.8,9319.2,255.2
2246006313,2026-08-04 19:30:00,59.200,59.100,58.900,1557.6,9284,9565.6,8993.6,237.6
2246006313,2026-08-04 20:00:00,59.500,59.400,59.200,1284.8,7400.8,7541.6,7031.2,105.6
2246006313,2026-08-04 20:30:00,57.800,57.800,57.500,1540,8984.8,9116.8,8685.6,211.2
2246006313,2026-08-04 21:00:00,58.000,57.800,57.700,1557.6,9116.8,9231.2,8817.6,237.6
2246006313,2026-08-04 21:30:00,58.100,58.000,57.700,1434.4,8571.2,8650.4,8219.2,193.6
2246006313,2026-08-04 22:00:00,58.500,58.400,58.200,1320,7805.6,7770.4,7365.6,176
2246006313,2026-08-04 22:30:00,57.300,57.200,57.000,1425.6,8166.4,8175.2,7928.8,193.6
2246006313,2026-08-04 23:00:00,57.200,57.100,57.000,1311.2,7902.4,7999.2,7603.2,158.4
2246006313,2026-08-04 23:30:00,58.000,58.000,57.800,1223.2,7136.8,7383.2,6916.8,70.4
2246006313,2026-08-05 00:00:00,58.200,58.200,57.900,985.6,5816.8,6010.4,5588,0
2246006313,2026-08-05 00:30:00,57.300,57.200,57.100,1135.2,6723.2,6943.2,6512,88
2246006313,2026-08-05 01:00:00,57.300,57.300,57.100,1355.2,8104.8,8263.2,7691.2,193.6
2246006313,2026-08-05 01:30:00,57.500,57.500,57.300,1372.8,7981.6,8087.2,7726.4,211.2
2246006313,2026-08-05 02:00:00,57.400,57.400,57.200,1390.4,8245.6,8307.2,7999.2,211.2
2246006313,2026-08-05 02:30:00,57.500,57.400,57.200,1372.8,7937.6,8034.4,7752.8,193.6
2246006313,2026-08-05 03:00:00,57.400,57.400,57.200,1267.2,7471.2,7576.8,7268.8,167.2
2246006313,2026-08-05 03:30:00,57.500,57.400,57.200,1372.8,8201.6,8307.2,7981.6,167.2
