HEAD_CODE,LINE_CODE,DATE,E_HEAD_KWH,E_SUM_KWH,LOSS_KWH,LOSS_PCT,PMAX_HEAD_KW,AT_HEAD,PMAX_LINE_KW,AT_LINE,PMAX_RATIO,COVERED,WITH_DATA,TOTAL,HEAD_SLOTS,ZONE
TTI.DIEMDONGUON,473E27.4,2026-08-30,18010.6,28423.8,-10413.2,-57.82,1459.6,14:00,1425.3,14:00,97.6,11,11,11,30,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-08-31,33062.1,32285.7,776.5,2.35,1897.9,15:30,1873.1,15:30,98.7,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-01,33072.9,32268.1,804.8,2.43,1812.8,09:30,1767.7,09:00,97.5,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-02,15813.6,15259,554.6,3.51,1196.8,01:00,1178.1,02:30,98.4,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-03,12161.6,11641.6,520,4.28,774.4,16:00,767.1,16:00,99.1,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-04,29128,28399.4,728.6,2.5,1988.8,15:30,1981.8,15:30,99.6,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-05,35349.6,34537.7,811.9,2.3,1936,15:30,1908,15:30,98.6,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-06,28283.2,27574.5,708.8,2.51,1372.8,14:30,1355.7,13:30,98.8,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-07,35640,34806.7,833.3,2.34,2024,15:30,1951.8,15:30,96.4,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-08,37910.4,37026.3,884.1,2.33,2164.8,09:00,2150,09:00,99.3,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-09,38860.8,37990.7,870.2,2.24,2305.6,09:30,2254.8,09:30,97.8,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-10,37936.8,37048.5,888.3,2.34,2182.4,09:00,2142.2,09:00,98.2,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-11,38236,37403.7,832.3,2.18,2305.6,15:30,2249.6,15:30,97.6,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-12,37215.2,36386.2,829,2.23,2112,14:00,2127.2,14:30,100.7,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-13,34777.6,33974.8,802.8,2.31,1988.8,16:00,1991,16:00,100.1,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-14,37584.8,36778,806.8,2.15,2129.6,09:30,2093.5,14:30,98.3,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-15,38156.8,37351,805.8,2.11,2129.6,15:30,2074,15:30,97.4,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-16,38438.4,37593.4,845,2.2,2129.6,14:30,2091.9,14:30,98.2,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-17,39696.8,38843.5,853.3,2.15,2129.6,15:30,2102.6,18:30,98.7,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-18,40163.2,39273.7,889.5,2.21,2164.8,14:30,2128.6,15:30,98.3,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-19,38139.2,37276.4,862.8,2.26,2041.6,15:30,1998.8,15:30,97.9,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-20,31460,30693.7,766.3,2.44,1742.4,15:30,1680.4,16:00,96.4,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-21,38174.4,37272.9,901.5,2.36,2252.8,15:30,2189.2,15:30,97.2,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-22,41773.6,40825,948.6,2.27,2252.8,14:30,2204.3,14:00,97.8,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-23,41861.6,40952,909.6,2.17,2235.2,14:00,2189.6,14:00,98,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-24,41465.6,40538,927.6,2.24,2200,14:30,2148.4,15:30,97.7,11,11,11,48,KCN Thuận Thành I
TTI.DIEMDONGUON,473E27.4,2026-09-25,40673.6,39772.6,901,2.22,2217.6,09:30,2176,09:30,98.1,11,11,11,47*,KCN Thuận Thành I
