METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2410121326,2026-08-28 00:00:00,200,1454.770,939.470,408.760,106.530,340.370
2410121353,2026-08-28 00:00:00,120,627.860,436.480,170.540,20.830,132.070
2410121371,2026-08-28 00:00:00,120,561.720,349.830,124.110,87.770,68.220
2410121424,2026-08-28 00:00:00,120,45.300,27.980,10.670,6.640,1.600
2410121440,2026-08-28 00:00:00,120,13.140,8.250,2.600,2.280,1.340
2410121454,2026-08-28 00:00:00,160,1943.150,1222.360,420.410,300.380,313.860
2410121457,2026-08-28 00:00:00,120,1268.890,822.580,365.620,80.670,214.850
2410121574,2026-08-28 00:00:00,120,4615.640,3332.360,1073.770,209.510,397.890
2410131378,2026-08-28 00:00:00,200,1708.710,1093.700,474.260,140.730,377.590
2410131384,2026-08-28 00:00:00,200,9534.420,5410.990,1916.620,2206.790,1986.160
2410131387,2026-08-28 00:00:00,600,509.270,317.980,121.420,69.870,52.660
2410320615,2026-08-28 00:00:00,700,14629.720,8954.650,3574.630,2100.430,3608.670
2410883990,2026-08-28 00:00:00,60,2977.250,1706.980,635.500,634.770,885.840
2410883991,2026-08-28 00:00:00,100,2663.280,1602.700,598.710,461.870,248.230
2410883993,2026-08-28 00:00:00,60,2797.670,1331.970,532.580,933.110,88.980
2410883994,2026-08-28 00:00:00,320,99.730,44.300,19.920,35.500,3.410
2410932742,2026-08-28 00:00:00,240,18818.439,10954.770,3500.180,4363.470,4736.300
2411087432,2026-08-28 00:00:00,40,3433.990,2138.220,982.560,313.190,705.120
2411087433,2026-08-28 00:00:00,500,670.920,398.210,148.330,124.370,15.910
2411290205,2026-08-28 00:00:00,240,9115.150,6136.310,2661.090,317.740,3225.410
2510014481,2026-08-28 00:00:00,80,14714.310,8573.840,2835.910,3304.540,5520.920
2510014483,2026-08-28 00:00:00,300,210.370,120.980,47.100,42.280,0.000
2510014484,2026-08-28 00:00:00,160,8990.460,5099.040,1991.500,1899.910,1369.220
2510178141,2026-08-28 00:00:00,40,592.160,442.500,139.530,10.110,164.810
2510203104,2026-08-28 00:00:00,120,2806.590,1684.280,658.530,463.760,404.390
2510203105,2026-08-28 00:00:00,100,2237.470,1555.360,632.790,49.320,526.820
2510203106,2026-08-28 00:00:00,100,92.250,42.850,15.220,34.170,0.370
2510203107,2026-08-28 00:00:00,600,392.570,245.420,110.300,36.840,112.780
2510203108,2026-08-28 00:00:00,80,3585.570,2011.180,794.040,780.340,579.610
2510203109,2026-08-28 00:00:00,160,1390.720,871.420,425.300,93.990,430.480
2510203114,2026-08-28 00:00:00,120,1734.890,1090.770,428.600,215.520,344.420
2510203117,2026-08-28 00:00:00,80,1570.240,834.690,344.200,391.340,263.410
2510203118,2026-08-28 00:00:00,640,171.430,99.090,38.980,33.350,26.980
2510203119,2026-08-28 00:00:00,40,480.820,323.290,123.490,34.020,180.180
2510203120,2026-08-28 00:00:00,160,3943.600,2422.640,873.720,647.230,896.380
2510203124,2026-08-28 00:00:00,800,1078.870,761.940,262.020,54.900,305.120
2510203126,2026-08-28 00:00:00,100,10.410,4.480,1.430,4.480,0.220
2510203127,2026-08-28 00:00:00,40,1073.420,701.740,290.140,81.530,294.230
2510203128,2026-08-28 00:00:00,500,7279.630,3818.750,1282.300,2178.560,321.270
2510203129,2026-08-28 00:00:00,80,1.230,0.640,0.240,0.340,0.000
2510203130,2026-08-28 00:00:00,120,17.240,11.750,3.800,1.680,6.070
2510203134,2026-08-28 00:00:00,200,136.820,80.110,31.840,24.860,6.060
2510224049,2026-08-28 00:00:00,1,51018.719,19795.650,10539.190,20683.881,117.940
2510317505,2026-08-28 00:00:00,1,13519.130,5903.560,2863.450,4752.110,0.730
2510317537,2026-08-28 00:00:00,1,10715.450,6159.440,2026.440,2529.550,218.560
2510389559,2026-08-28 00:00:00,1,35.990,19.750,14.320,1.910,30.210
2510389643,2026-08-28 00:00:00,1,40319.340,14396.620,7165.350,18757.350,22.350
2510389931,2026-08-28 00:00:00,1,28908.510,11039.980,6094.840,11773.680,0.080
2510633381,2026-08-28 00:00:00,320,194.860,121.540,43.640,29.670,6.180
2510633383,2026-08-28 00:00:00,40,1539.200,1152.680,356.400,30.110,47.380
2510633385,2026-08-28 00:00:00,60,1110.160,520.650,219.660,369.840,43.160
2510633386,2026-08-28 00:00:00,500,419.710,238.550,91.210,89.930,30.890
2510633387,2026-08-28 00:00:00,40,17.670,11.670,4.390,1.600,0.490
2510633389,2026-08-28 00:00:00,500,241.480,164.040,57.330,20.100,26.340
2510633390,2026-08-28 00:00:00,80,1656.330,998.860,380.810,276.650,430.010
2510633391,2026-08-28 00:00:00,100,218.380,168.440,49.840,0.090,3.050
2510633393,2026-08-28 00:00:00,600,5378.050,3132.780,1072.320,1172.940,1140.240
2510633395,2026-08-28 00:00:00,40,1300.980,732.580,283.550,284.840,61.340
2510633396,2026-08-28 00:00:00,400,810.180,548.280,191.740,70.150,183.350
2510633397,2026-08-28 00:00:00,240,487.560,314.590,145.190,27.760,180.310
2510633402,2026-08-28 00:00:00,300,342.380,207.180,75.370,59.820,72.780
2510633406,2026-08-28 00:00:00,60,322.920,141.600,61.020,120.290,11.280
2510633411,2026-08-28 00:00:00,800,4049.840,2306.650,857.300,885.880,1424.890
2510814977,2026-08-28 00:00:00,400,48.040,29.770,11.440,6.820,1.480
2610026950,2026-08-28 00:00:00,600,8.200,5.170,1.910,1.110,0.650
2610026952,2026-08-28 00:00:00,200,3128.100,2042.710,921.540,163.850,1551.440
2610026953,2026-08-28 00:00:00,700,462.640,275.710,106.480,80.440,115.190
2610026963,2026-08-28 00:00:00,200,322.750,167.810,78.440,76.490,23.310
2610026966,2026-08-28 00:00:00,240,829.930,594.900,206.680,28.340,176.230
2610026976,2026-08-28 00:00:00,60,1241.090,808.850,275.960,156.270,129.310
2610026977,2026-08-28 00:00:00,30,533.560,223.360,82.660,227.530,91.780
2610126270,2026-08-28 00:00:00,400,16.400,10.560,4.080,1.760,0.750
