LINE_ID,LINE_NAME,ADDRESS,CODE
1000,YM.TITAN.NX9.750kVA.ANGSTROM GOBAL,,YM.TITAN.NX9.750kVA
1024,TH.RICO.T1.2500kVA,,TH.RICO.T1.2500kVA
1025,TH.RICO.T2.2500kVA,,TH.RICO.T2.2500kVA
1040,TTI.BQL.T1.630kVA XLNT ECOBA,,
1059,03.NHOMVP.3000kVA,,03.NHOMVP.3000kVA
1060,03.VMP.1500kVA,,03.VMP.1500kVA
1061,YM.PE_FOAMVH.T1.1000kVA,,YM.PE_FOAMVH.T1.1000kVA
1062,03.PANEL.1000kVA,,03.PANEL.1000kVA
1070,TTI.NGANAN.T1.560kVA,,TTI.NGANAN.T1.560kVA
1071,TTI.NGANAN.T2.560kVA,,TTI.NGANAN.T2.560kVA
108,TH.BQL.T3.50kVA,,TH.BQL.T3.50kVA
109,TH.ASAHI.T1.2500kVA,,TH.ASAHI.T1.2500kVA
110,TH.BQL.T1.180kVA,,TH.BQL.T1.180kVA
111,TH.BQL.T2.160kVA,,TH.BQL.T2.160kVA
113,TH.FANTASY.T1.3150kVA,,TH.FANTASY.T1.3150kVA
114,TH.HUM&C.T1.750kVA,,TH.HUM&C.T1.750kVA
115,TH.SINHER.T1.1600kVA,,TH.SINHER.T1.1600kVA
119,PĐ.BQL.T1.75kVA,,PĐ.BQL.T1.75kVA
120,PĐ.AMP.T1.1000kVA,,PĐ.AMP.T1.1000kVA
121,PĐ.BQL.T2.50kVA,,PĐ.BQL.T2.50kVA
122,03.ECOLAND.T1.400KVA,,03.ECOLAND.T1.400KVA
124,YM.LIHUA.T1.560kVA,,YM.LIHUA.T1.560kVA
125,YM.LIHUA.T2.560kVA,,YM.LIHUA.T2.560kVA
126,YM.MINHQUANG.T1.1500kVA,,YM.MINHQUANG.T1.1500kVA
127,YM.TITAN.NX7.630kVA,,YM.TITAN.NX7.630kVA
128,YM.JILI.T1.630kVA,,YM.JILI.T1.630kVA
129,YM.VNC.T1.5500kVA,,YM.VNC.T1.5500kVA
130,YM.PACIFIC.T1.1000kVA,,YM.PACIFIC.T1.1000kVA
131,YM.TITAN.NX2.400kVA.ESSENCE,,YM.TITAN.NX2.400kVA
132,YM.TITAN.NX1.400kVA.SML,,YM.TITAN.NX1.400kVA
133,YM.TITAN.NX3.400kVA.EVERJOY,,YM.TITAN.NX3.400kVA
134,YM.TITAN.NX4.400kVA.JOINT,,YM.TITAN.NX4.400kVA
135,YM.TITAN.NX5.400KVA.JEN YAW,,YM.TITAN.NX5.400KVA
136,YM.TITAN.NX6.400kVA.FUMAO,,YM.TITAN.NX6.400kVA
137,YM.TITAN.NX8.750kVA Hồng Nguyên,,YM.TITAN.NX8.750kVA
138,YM.TITAN.NX9.750kVA,,YM.TITAN.NX9.750kVA
143,03.LOGOS.T3.1600kVA,,03.LOGOS.T3.1600kVA
146,03.ECOLAND.T2.250kVA,,03.ECOLAND.T2.250kVA
147,03.ECOLAND.T5.1500kVA,,03.ECOLAND.T5.1500kVA
154,TH.BEBRIGHT.T1.2500kVA,,TH.BEBRIGHT.T1.2500kVA
155,TH.BEBRIGHT.T2.2000kVA,,TH.BEBRIGHT.T2.2000kVA
156,TH.XULI.T1.1000kVA,,TH.XULI.T1.1000kVA
165,YM.VINSON.T1.400kVA,,YM.VINSON.T1.400kVA
166,03.SENDAI.T1.1000kVA,,03.SENDAI.T1.1000kVA
237,03.LOGOS.T1.1000kVA,,03.LOGOS.T1.1000kVA
252,03.TMD.3000kVA ( 0.2kV ),,03.TMD.3000kVA
253,YM.DAECHANG.T1.560kVA,,YM.DAECHANG.T1.560kVA
254,03.LOGOS.T2.2500kVA,,03.LOGOS.T2.2500kVA
292,03.IP.T1.560kVA,,03.IP.T1.560kVA
334,TH.ACCELOTECH.T1.800kVA,,TH.ACCELOTECH.T1.800kVA
335,TH.ACCELOTECH.T2.800kVA,,TH.ACCELOTECH.T2.800kVA
354,TTI.BQL.T2.630kVA CCNS,,TTI.BQL.T2.630kVA CCNS
371,TTI.DIEMDOPHU,,
377,TTI.BQL.T1.630kVA  XLNT,,TTI.BQL.T1.630kVA XLNT
478,TH.BQL.PCCC2.750kVA LICOGI,,TH.BQL.PCCC2.750kVA
479,03.GHN.T1.2000kVA,,03.GHN.T1.2000kVA
510,03.TAMAGAWA.T1.750kVA,,03.TAMAGAWA.T1.750kVA
513,TTI.BQL.T3.400kVA  CS+BQL,,TTI.BQL.T3.400kVA
563,YM.VINATA.T1.160kVA,,YM.VINATA.T1.160kVA
565,YM.FOT.T1.2000kVA,,YM.FOT.T1.2000kVA
585,YM.KIMTIN2.T1.1250kVA,,YM.KIMTIN2.T1.1250kVA
