CODE,LINE_NAME,DATE,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH,LOSS_PCT,MAX_LOAD_PCT,AVG_LOAD_PCT,N_INTERVALS,OUTPUT_SRC
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-01-01,56,4.136,0.011558,4.14756,6.89564,2.72787,1.03758,29,index
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-01-01,282,5.0094,0.326026,5.33543,1.85686,14.5346,7.66534,29,index
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-01-01,99,16.523,0.00865816,16.5317,14.3092,1.05272,0.773062,28,index
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-01-01,73.6,18.0987,0.00221545,18.1009,19.739,0.490667,0.336611,29,index
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-01-01,6270,25.2525,12.4173,37.6698,0.597206,28.3809,22.4526,28,index
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-01-01,332.8,7.38219,0.131996,7.51418,2.20801,7.00146,4.24655,28,index
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-01-01,141,10.9748,0.0151601,10.99,7.23073,2.64209,1.22931,28,index
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-01-01,19.2,12.2069,0.000352259,12.2073,38.8676,0.232964,0.123809,29,index
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-01-01,95,23.4089,0.00250791,23.4114,19.7713,0.367696,0.273335,29,index
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-01-01,696,12.6182,0.726301,13.3445,1.88124,15.6703,5.31544,28,index
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-01-01,0,12.6417,0,12.6417,100,0,0,28,index
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-01-01,388.8,12.2577,0.167495,12.4252,3.09681,5.33849,4.06981,28,index
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-01-01,398.4,19.92,0.0722829,19.9923,4.77836,2.98811,2.0666,48,index
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-01-01,7896,45.1036,5.60049,50.7041,0.638052,16.246,13.1634,48,index
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-01-01,198,45.5467,0.00508223,45.5518,18.7031,0.541465,0.295722,48,index
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-01-01,17,17.568,0.000212687,17.5682,50.8219,0.296048,0.103502,48,index
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-01-01,207,6.84,0.187542,7.02754,3.28348,11.4049,4.79159,48,index
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-01-01,304,6.432,0.440237,6.87224,2.21063,26.4507,8.88554,53,index
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-01-01,2310,91.8096,0.423255,92.2329,3.83946,3.82513,2.99548,48,index
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-01-01,228.8,18.912,0.0271665,18.9392,7.6448,2.50337,1.25787,48,index
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-01-01,196,27.696,0.00856216,27.7046,12.3844,0.928036,0.503412,48,index
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-01-01,319.2,23.088,0.0305751,23.1186,6.75353,2.06456,1.34107,48,index
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-01-01,272,18.72,0.0570283,18.777,6.45753,3.64306,1.83632,48,index
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-01-01,546.4,9.96,0.380555,10.3406,1.85734,10.4878,5.92882,49,index
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-01-01,712,95.736,0.0580114,95.794,11.8587,1.44345,0.991513,48,index
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-01-01,660,73.0772,0.0674161,73.1446,9.97684,1.60801,1.40609,48,index
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-01-01,19,7.728,0.000217026,7.72822,28.9141,0.197239,0.131471,48,index
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-01-01,484,57.528,0.0565317,57.5845,10.6326,2.76,0.99654,48,index
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-01-01,400,17.9362,0.0874725,18.0236,4.31163,3.7883,2.596,48,index
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-01-01,162,52.08,0.0250333,52.105,24.3362,2.08924,0.512203,48,index
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-01-01,1171.2,16.7338,1.06825,17.802,1.49722,13.7584,8.81715,48,index
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-01-01,88,16.008,0.00644379,16.0144,15.3964,1.24047,0.629681,48,index
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-01-01,324,31.32,0.0385703,31.3586,8.82449,2.041,1.0715,48,index
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-01-01,497.6,10.1587,0.269213,10.4279,2.05263,8.84389,5.14896,48,index
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-01-01,92.8,9.6,0.0441499,9.64415,9.41406,2.35321,2.21157,48,index
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-01-01,43.2,9.61305,0.00216587,9.61522,18.2054,0.848528,0.479212,48,index
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-01-01,0,9.8436,0,9.8436,100,0,0,48,index
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-01-01,38.4,9.864,0.00145613,9.86546,20.44,0.68469,0.395816,48,index
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-01-01,262.4,18.755,0.0429332,18.7979,6.68494,3.87183,1.71681,48,index
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-01-01,28,19.296,0.000336758,19.2963,40.7988,0.267997,0.14519,48,index
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-01-01,72,19.296,0.0024602,19.2985,21.1378,0.56,0.396997,48,index
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-01-01,140,10.68,0.0217397,10.7017,7.10127,2.01435,1.45606,48,index
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-01-02,134,6.768,0.0364095,6.80441,4.83253,3.53058,1.41827,48,index
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-01-02,331.8,8.712,0.359971,9.07197,2.6614,14.5777,5.43701,48,index
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-01-02,171,29.016,0.0148475,29.0308,14.5132,1.00026,0.755106,48,index
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-01-02,76.8,29.616,0.0024891,29.6185,27.8321,0.661677,0.20827,48,index
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-01-02,9915,44.4,17.5453,61.9453,0.620884,27.807,20.663,48,index
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-01-02,568,12.9638,0.204497,13.1683,2.26584,6.05822,4.21304,48,index
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-01-02,369,19.32,0.0897959,19.4098,4.99725,5.79251,1.96288,48,index
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-01-02,48,21.2808,0.00110862,21.2819,30.7178,0.326337,0.177257,48,index
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-01-02,155,40.7112,0.00391202,40.7151,20.8033,0.386264,0.276634,48,index
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-01-02,2380,22.1858,3.01719,25.203,1.04785,22.0038,9.71518,48,index
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-01-02,74.4,22.2,0.00542155,22.2054,22.9857,1.77015,0.331574,48,index
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-01-02,526.4,21.537,0.165929,21.703,3.95965,4.42979,3.02444,48,index
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-01-02,812.8,19.92,0.353572,20.2736,2.43359,9.07683,4.27477,48,index
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-01-02,7602,45.4518,5.37108,50.8229,0.664106,16.1076,12.8333,48,index
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-01-02,408,45.5784,0.032201,45.6106,10.055,1.71226,0.665581,48,index
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-01-02,19,17.568,0.000232068,17.5682,48.0423,0.168655,0.110131,48,index
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-01-02,223.2,6.84475,0.205012,7.04976,3.06179,13.5395,5.15896,48,index
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-01-02,366.4,6.432,0.674148,7.10615,1.90255,27.9557,10.5552,54,index
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-01-02,21364,91.6821,57.2207,148.903,0.692156,57.2808,28.8258,48,index
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-01-02,187.2,18.912,0.0234216,18.9354,9.18591,3.73942,1.07046,48,index
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-01-02,408,27.696,0.0455285,27.7415,6.36651,2.425,1.05813,48,index
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-01-02,6710.4,23.088,25.2067,48.2947,0.714557,72.885,29.0572,48,index
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-01-02,288,18.72,0.0603927,18.7804,6.12177,3.7396,1.93781,48,index
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-01-02,584.8,9.96,0.414444,10.3744,1.74309,9.28034,6.36208,52,index
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-01-02,1160,95.8025,0.130765,95.9332,7.6384,2.30092,1.60619,48,index
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-01-02,660,73.128,0.0669778,73.195,9.98302,1.60801,1.39662,48,index
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-01-02,19,7.728,0.000229262,7.72823,28.9141,0.197239,0.136009,48,index
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-01-02,680,57.528,0.0993724,57.6274,7.81253,3.20006,1.39784,48,index
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-01-02,401.6,17.9362,0.0885226,18.0247,4.29543,3.87041,2.60462,48,index
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-01-02,171,52.08,0.0221162,52.1021,23.3535,1.03312,0.5816,48,index
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-01-02,3401.6,16.7338,11.0921,27.8259,0.811386,49.0708,25.3128,48,index
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-01-02,851.2,16.008,1.16238,17.1704,1.97731,23.0808,6.9747,48,index
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-01-02,4176,31.32,6.6307,37.9507,0.900597,21.8963,12.0833,48,index
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-01-02,596,10.1658,0.57367,10.7394,1.77003,22.7976,7.06413,48,index
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-01-02,822.4,9.6,1.38297,10.983,1.31788,27.3486,9.28804,48,index
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-01-02,51.2,9.63312,0.00275081,9.63587,15.8391,0.902441,0.531781,48,index
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-01-02,1.2,9.8436,0,9.8436,89.134,0,0,48,index
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-01-02,292.8,9.864,0.261807,10.1258,3.34267,21.967,3.25265,48,index
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-01-02,353.6,18.768,0.0832715,18.8513,5.06141,4.36958,2.29366,48,index
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-01-02,734,19.296,0.505224,19.8012,2.62685,10.8942,4.10177,48,index
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-01-02,72,19.296,0.00233556,19.2983,21.1377,0.560635,0.386785,48,index
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-01-02,155.2,10.68,0.0284465,10.7084,6.45443,3.16765,1.6136,48,index
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-01-03,150,6.768,0.0618944,6.82989,4.35497,5.26219,1.70018,48,index
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-01-03,319.8,8.712,0.352449,9.06445,2.75629,14.5748,5.28753,48,index
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-01-03,174,29.016,0.0147538,29.0308,14.2987,1.08426,0.754473,48,index
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-01-03,20.64,5.553,0.000557506,5.55356,21.202,0.32071,0.306443,9,pxdt
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-01-03,10070,44.4,18.3214,62.7214,0.618998,28.889,20.9502,48,index
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-01-03,628.8,12.9638,0.25204,13.2159,2.0585,6.71581,4.6538,48,index
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-01-03,30.185,3.6225,0.00235446,3.62485,10.7213,1.40011,0.860234,9,pxdt
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-01-03,99.2,21.2808,0.00790604,21.2887,17.6686,1.73214,0.412771,48,index
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-01-03,165,40.7112,0.00434503,40.7155,19.7922,0.724431,0.283543,48,index
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-01-03,4560,22.1858,7.73033,29.9162,0.65178,23.8676,19.0304,48,index
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-01-03,84,22.2,0.00600006,22.206,20.9084,1.48432,0.360134,48,index
