CODE,LINE_NAME,MONTH,N_DAYS,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_TOTAL_KWH
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07,8,480,754.95,0.00985613,754.96
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07,8,2512.8,47.3619,1.53933,48.9012
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07,8,5935.68,60.978,10.3332,71.3112
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07,8,1738.32,202.89,0.205279,203.096
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07,8,530.56,207.312,0.0125894,207.325
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07,8,99415.2,310.8,243.374,554.174
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07,8,12312.1,90.7286,19.633,110.362
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07,8,13153.5,135.012,19.4731,154.485
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07,8,430.08,148.966,0.00874647,148.974
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07,8,8264,284.922,68.5123,353.434
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07,8,2803.52,200.76,0.407157,201.167
03.NHOMVP.3000kVA,03.NHOMVP.3000kVA,2026-07,1,0,1.09,0,1.09
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07,8,1238.75,310.615,0.0482499,310.663
03.PANEL.1000kVA,03.PANEL.1000kVA,2026-07,1,0,0.462205,0,0.462205
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07,8,27401.1,155.362,47.8377,203.2
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07,8,6877.9,155.23,5.44209,160.673
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07,8,16471.6,150.834,29.6961,180.53
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07,9,18544.4,371.69,55.8167,427.507
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07,8,11594.9,150.345,13.4162,163.761
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07,8,879.69,25.872,1.23618,27.1082
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07,8,25918.6,139.454,55.7343,195.188
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07,8,119662,318.795,192.144,510.94
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07,8,12252.3,312.877,8.08519,320.962
TH.BAIYANG.T2.2500kVA,TH.BAIYANG.T2.2500kVA,2026-07,1,127.88,6.77346,0.0250563,6.79851
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07,8,8935.2,318.036,3.79048,321.826
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-07,8,211.05,122.976,0.0119412,122.988
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07,8,1957.68,47.88,1.81442,49.6944
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07,8,3064.84,45.0329,5.44639,50.4793
